1, YETI Tumblr, Kitchen & Camping, 60, 500
2, Dell Widescreen Monitor, Computer & Electronics, 85, 500
3, iPhone 8 Plus Otterbox Case, Mobile Accessories > Apple, 60, 300
4, Converse All Stars, Clothing & Shoes, 55, 400
5, Bose Noise Cancelling Headphones, Audio & Entertainment, 250, 500
6, Bronze Reading Lamp, Home & Office, 50, 500
7, Stand-Up Desk, Home & Office, 250, 200
8, Yamaha Stereo & Speakers, Audio & Entertainment, 800, 200
9, Lounge Chair, Home & Office, 200, 300
10, Magsafe Charger, Computer & Electronics, 65, 500
